DB11093,P05937
DB11348,P05937
DB00150,P48775
DB00152,P13584
DB00153,Q02318
DB00153,Q6VVX0
DB00158,Q92820
DB00169,Q6VVX0
DB00169,Q02318
DB00169,P51589
DB00184,Q16696
DB00185,Q01740
DB00186,P54855
DB00227,Q15166
DB00227,P35503
DB00227,P16662
DB00244,P18440
DB00250,P31513
DB00250,P11245
DB00252,P19224
DB00252,P07099
DB00252,P22310
DB00295,P16662
DB00295,Q9HAW9
DB00295,P54855
DB00295,P06133
DB00295,P35503
DB00300,P27144
DB00300,P15531
DB00300,P12277
DB00313,P22310
DB00313,Q9HAW9
DB00313,Q9HAW8
DB00313,P19224
DB00313,P35503
DB00313,P16662
DB00313,P54855
DB00316,P19224
DB00316,P54855
DB00316,P0DMM9
DB00316,P11245
DB00318,P16662
DB00318,P06133
DB00321,P36537
DB00321,P22310
DB00327,P35503
DB00327,P16662
DB00328,P16662
DB00334,P31513
DB00334,P22310
DB00363,P31513
DB00363,P22310
DB00366,Q14097
DB00388,P0DMM9
DB00409,P00176
DB00422,Q6LAP9
DB00434,P35503
DB00445,P16662
DB00455,P36537
DB00455,P35503
DB00455,P54855
DB00461,P28845
DB00461,Q04828
DB00465,P16662
DB00472,Q14097
DB00481,Q9HAW8
DB00481,Q9HAW9
DB00495,P16662
DB00500,P48775
DB00501,P31513
DB00501,Q01740
DB00514,P06133
DB00514,P16662
DB00514,P54855
DB00514,O75795
DB00553,Q16696
DB00563,Q92820
DB00564,P16662
DB00564,P19224
DB00564,Q9HAW7
DB00582,Q01740
DB00582,P31513
DB00586,P16662
DB00586,P35503
DB00586,P06133
DB00598,P16662
DB00624,Q9HB55
DB00624,Q16696
DB00635,P28845
DB00637,P51589
DB00641,P35503
DB00641,P16662
DB00675,Q01740
DB00675,P31513
DB00675,Q9HAW8
DB00675,P16662
DB00675,O75795
DB00678,P35503
DB00678,Q9HAW8
DB00678,P16662
DB00678,O75795
DB00683,P22310
DB00687,P28845
DB00688,Q9HAW7
DB00688,P19224
DB00688,P16662
DB00688,Q9HAW9
DB00688,Q9HAW8
DB00709,P00558
DB00709,P15531
DB00712,P16662
DB00712,P35503
DB00712,P06133
DB00714,P0DMM9
DB00718,P27144
DB00718,P15531
DB00741,P28845
DB00749,P35503
DB00749,Q9HAW8
DB00749,P16662
DB00762,O00748
DB00763,P31513
DB00776,Q04828
DB00776,O75828
DB00779,P48775
DB00783,P54855
DB00787,P15531
DB00787,P12277
DB00787,P00558
DB00788,P16662
DB00788,P35503
DB00788,P19224
DB00788,Q9HAW7
DB00788,Q9HAW9
DB00788,Q9HAW8
DB00796,P35503
DB00808,P07099
DB00818,Q9HAW9
DB00818,P19224
DB00831,P22310
DB00842,P54855
DB00842,P16662
DB00861,Q9HAW9
DB00869,P00176
DB00870,P16662
DB00898,P28332
DB00910,P22310
DB00918,P31513
DB00924,P22310
DB00924,P36537
DB00945,P19224
DB00945,P11245
DB00951,P11245
DB00959,Q04828
DB00959,P28845
DB00966,P35503
DB00973,P35503
DB00973,P54855
DB00973,P16662
DB00974,Q15166
DB00977,P22310
DB00977,P35503
DB00977,P16662
DB00977,P0DMM9
DB00983,P22310
DB00983,Q9HAW9
DB00983,P16662
DB00983,P54855
DB00993,P08263
DB00993,P20839
DB00997,O75828
DB01006,P16662
DB01008,P08263
DB01015,P18440
DB01015,P11245
DB01024,P16662
DB01024,Q9HAW7
DB01024,P19224
DB01026,Q9HAW7
DB01026,P16662
DB01026,P78329
DB01029,P35503
DB01039,Q04828
DB01045,Q9HB55
DB01048,P28332
DB01050,P35503
DB01050,P06133
DB01050,P16662
DB01058,Q9HB55
DB01068,P11245
DB01076,P35503
DB01095,P35503
DB01095,P16662
DB01104,Q14097
DB01118,P51589
DB01136,P06133
DB01136,P16662
DB01149,Q14097
DB01174,P13584
DB01174,P16662
DB01217,P22310
DB01217,P35503
DB01217,P16662
DB01234,P28845
DB01234,Q9HB55
DB01241,P16662
DB01241,P35503
DB01241,P06133
DB01241,O75795
DB01252,P35503
DB01252,P16662
DB01254,P31513
DB01262,P15531
DB01320,P19224
DB01544,P16662
DB01544,P35503
DB01609,P35503
DB04855,P51589
DB04871,Q01740
DB04953,P35503
DB04953,P22310
DB04953,P11245
DB05015,P22310
DB05294,Q01740
DB05294,P31513
DB06153,P36537
DB06204,P16662
DB06207,P16662
DB06209,O00748
DB06210,P35503
DB06216,P22310
DB06228,P51589
DB06292,P06133
DB06292,P16662
DB06401,P22310
DB06401,Q9HAW9
DB06401,Q9HAW8
DB06403,P16662
DB06403,P35503
DB06410,Q02318
DB06412,Q9HB55
DB06595,Q9HB55
DB06605,P51589
DB06695,O00748
DB06695,P16662
DB06695,P54855
DB06737,P16662
DB06777,Q02318
DB06777,P16662
DB08826,P19224
DB08860,P16662
DB08860,P35503
DB08868,P78329
DB08907,P06133
DB08918,P51589
DB08930,P35503
DB08931,P51589
DB08934,Q6LAP9
DB08934,P15531
DB09030,P51589
DB09038,P16662
DB09038,P35503
DB09038,Q9HAW9
DB09048,Q9HB55
DB09054,Q9HB55
DB09054,P22310
DB09065,Q9HB55
DB09079,Q9HAW7
DB09079,Q9HAW9
DB09079,Q9HAW8
DB09101,P22310
DB09102,Q9HB55
DB09183,P22310
DB09212,P16662
DB09241,P22310
DB09262,P22310
DB09274,P16662
DB09288,P19224
DB09288,P54855
DB09288,Q9HAW8
DB09288,P0DMM9
DB09288,P11245
DB11574,Q9HB55
DB11633,Q9HAW9
DB11691,P35503
DB11828,P31513
DB11943,P35503
DB11943,P54855
DB12070,P35503
DB12070,Q9HB55
DB12161,O75828
DB12278,Q01740
DB12278,P31513
DB12332,Q9HB55
DB13179,Q9HB55
DB13783,P16662
DB13874,P35503
DB13874,P22310
DB13874,P16662
DB13874,P54855
DB00014,P30968
DB00035,P30518
DB00035,P37288
DB00035,P47901
DB00120,P17735
DB00120,P07101
DB00122,P36544
DB00126,Q9GZT9
DB00136,P11473
DB00142,Q16099
DB00142,Q16478
DB00142,O15399
DB00142,P17735
DB00142,P24298
DB00142,P38435
DB00142,P80404
DB00142,Q12879
DB00142,Q13224
DB00142,Q14957
DB00142,Q8TCU5
DB00142,Q8TD30
DB00142,P42261
DB00142,P42262
DB00142,P42263
DB00142,P48058
DB00142,Q13002
DB00142,Q13003
DB00146,P11473
DB00153,P11473
DB00162,O94788
DB00163,O75469
DB00169,P11473
DB00170,P38435
DB00170,P02818
DB00175,Q92769
DB00176,Q12809
DB00177,P30556
DB00178,P12821
DB00178,P46663
DB00180,P04150
DB00181,Q9UBS5
DB00182,Q96RJ0
DB00182,P14416
DB00184,P43681
DB00184,P36544
DB00184,P17787
DB00184,Q15822
DB00184,P32297
DB00184,P30532
DB00184,Q15825
DB00184,Q9UGM1
DB00184,Q05901
DB00184,P30926
DB00185,P20309
DB00188,P28074
DB00188,P20618
DB00193,P35372
DB00193,P28335
DB00193,P41145
DB00193,P41143
DB00193,Q693P7
DB00193,P20309
DB00193,P25103
DB00193,Q8NER1
DB00193,P30542
DB00195,P07550
DB00196,P10613
DB00199,Q12809
DB00201,P30542
DB00201,Q07343
DB00201,P29274
DB00201,O00329
DB00201,P42336
DB00201,P29275
DB00201,P0DMS8
DB00202,Q693P7
DB00202,P08172
DB00202,P20309
DB00203,P18545
DB00203,Q13956
DB00204,Q12809
DB00204,O95069
DB00205,P13922
DB00206,P54219
DB00207,Q9UM07
DB00208,Q9H244
DB00209,P20309
DB00211,P35368
DB00211,P25100
DB00212,P00797
DB00213,O94760
DB00215,P35367
DB00216,P28221
DB00216,P28222
DB00216,P30939
DB00218,P43702
DB00218,P43700
DB00221,P07550
DB00223,P04150
DB00224,Q72874
DB00227,P20701
DB00227,Q92769
DB00229,Q8XJ01
DB00230,P54289
DB00232,P00915
DB00232,P22748
DB00233,O15111
DB00233,Q9NZK7
DB00235,Q14432
DB00237,P42261
DB00237,P42262
DB00237,P42263
DB00237,P48058
DB00237,Q13002
