P80404,O94788
P80404,P12277
P80404,Q16853
P80404,P15531
P80404,Q8TD30
P80404,P24298
P21439,Q14973
P21439,Q96BD0
P21439,Q02318
P21439,P06133
P21439,Q9HAW9
P21439,P24298
P21439,P19224
P21439,Q14994
P21439,Q8TDU6
P21439,Q9NYB5
P21439,P30626
P21439,Q86UW2
P21439,P46721
P21439,O75469
P21439,Q86UW1
P21439,Q96RI1
P21439,P19793
P21439,Q07869
Q96J66,Q86UW1
O15438,Q14973
O15438,Q96BD0
O15438,Q15842
O15438,Q02318
O15438,O75751
O15438,O00337
O15438,Q86VL8
O15438,P16662
O15438,Q9UIG8
O15438,Q9Y271
O15438,Q14994
O15438,P19224
O15438,Q9NYB5
O15438,Q9HAW9
O15438,Q86UW2
O15438,O75469
O15438,Q96RI1
O15438,P46721
O15438,Q86UW1
O60706,P51787
O60706,Q15842
O60706,P22460
O60706,Q6ZQN7
O60706,P48549
O60706,Q12809
O60706,O14958
O60706,P48544
O60706,Q9UK17
O60706,Q07699
O60706,P54289
O60706,Q08289
O60706,P46721
P24752,Q9H4B7
P24752,P23786
P24752,Q5T1J1
P24752,O95749
P24752,P14324
P12821,P46663
P12821,P00750
P12821,Q16647
P12821,P27361
P12821,P01584
P12821,P35968
P12821,P09038
P12821,P00797
P12821,P00533
P12821,O94760
P12821,P05067
P12821,P11245
P12821,P37231
P12821,P16066
P12821,P18440
P12821,Q16665
P12821,P10828
P12821,O00206
P12821,P04054
P12821,P42574
P12821,P05412
P12821,P03372
P12821,P11473
P12821,P24530
P12821,P55017
P12821,Q07869
P12821,P06870
P12821,Q9H244
P12821,P07550
P12821,P31749
P12821,P25101
P12821,P19320
P12821,P24298
P12821,P14780
P12821,P00747
P12821,P15692
P12821,P01375
P12821,P16860
P12821,P08235
P12821,P30556
Q9BYF1,P01584
Q9BYF1,P00797
Q9BYF1,P0DP24
Q9BYF1,P0DP25
Q9BYF1,P19320
Q9BYF1,P08235
Q9BYF1,P02786
Q9BYF1,P14780
Q9BYF1,P16860
Q9BYF1,O95436
Q9BYF1,P31749
Q9BYF1,P01375
Q9BYF1,P30556
P28332,O94788
P28332,P36537
P28332,P41145
P28332,Q16445
P28332,O60760
P28332,P19224
P28332,P16662
P28332,Q9HAW9
P28332,P06133
P28332,O75795
P28332,P08263
P28332,P54855
P28332,Q9HAW8
P28332,P22310
P28332,Q9HAW7
P28332,P08172
P28332,P00338
P28332,P35503
P30542,P41143
P30542,P27361
P30542,P01584
P30542,P00797
P30542,P00533
P30542,Q8N1C3
P30542,P29275
P30542,P07550
P30542,Q9H244
P30542,P29274
P30542,P15692
P30542,Q92806
P30542,Q8NER1
P30542,P0DMS8
P30542,Q16665
P30542,P31749
P30542,P01375
P29274,P27361
P29274,P01584
P29274,P00797
P29274,P29275
P29274,Q9H244
P29274,Q8NER1
P29274,Q9Y5N1
P29274,P07101
P29274,Q9Y233
P29274,P15692
P29274,Q16665
P29274,P31749
P29274,P01375
P29274,P21554
P29274,P14416
P29275,P19838
P29275,P27361
P29275,P01584
P29275,P00797
P29275,P04054
P29275,P15692
P29275,P31749
P29275,P01375
P29275,Q16665
P29275,Q9H244
P0DMS8,P27361
P0DMS8,P01584
P0DMS8,P35968
P0DMS8,P00797
P0DMS8,Q9H244
P0DMS8,P21554
P0DMS8,P15692
P0DMS8,Q16665
P0DMS8,P31749
P0DMS8,P01375
P35368,P21917
P35368,P28335
P35368,P34995
P35368,P07550
P35368,P43681
P35368,O60674
P35368,P48544
P35368,Q06187
P35368,P21731
P35368,P25100
P25100,P43681
P25100,P36544
P25100,Q06187
P25100,P21731
P18089,P30518
P18825,O95264
P18825,Q9Y2I1
P18825,P21554
P18825,P43681
P18825,Q15822
P18825,P36544
P07550,P13569
P07550,P21917
P07550,P04150
P07550,P41143
P07550,P27824
P07550,O15554
P07550,P27361
P07550,P01584
P07550,P00797
P07550,P00533
P07550,P28335
P07550,P37231
P07550,P34995
P07550,P48549
P07550,P25103
P07550,P21731
P07550,Q9UBS5
P07550,Q9H244
P07550,Q9P0L9
P07550,P07101
P07550,P43115
P07550,P48544
P07550,Q07343
P07550,P31749
P07550,P30518
P07550,P21554
P07550,P01375
P07550,P08172
P07550,P30556
P07550,P42261
P07550,P13945
P07550,Q08499
P07550,P12931
P13945,P37231
P13945,P07101
P13945,Q07869
P13945,P12931
P30556,P27824
P30556,P04049
P30556,P41595
P30556,P27361
P30556,P01584
P30556,P00797
P30556,P47870
P30556,P00533
P30556,P37231
P30556,P19320
P30556,P00747
P30556,P42574
P30556,Q9UK17
P30556,P08235
P30556,P30518
P30556,P21554
P30556,P43088
P30556,P05412
P30556,P14780
P30556,P12931
P30556,O60674
P30556,Q07869
P30556,P21731
P30556,P01375
P30556,P55017
P30556,P31749
P30556,P15692
P35869,P60568
P35869,P04150
P35869,P62942
P35869,Q01650
P35869,P28335
P35869,P22310
P35869,P35503
P35869,O00206
P35869,P00533
P35869,P06401
P35869,Q16665
P35869,P15692
P35869,P31749
P35869,Q9HC97
P35869,P11473
P35869,P07099
P35869,P08263
P35869,P30536
P35869,P37231
P35869,Q96RI1
P35869,P05412
P35869,P01584
P35869,O60760
P35869,Q07869
P35869,Q9HAW9
P35869,P01375
P35869,Q92731
P35869,P19224
P35869,Q14994
P35869,P48775
P35869,O75469
P35869,P10275
P35869,P12931
P35869,P03372
P35869,P07900
P27144,O43570
P27144,P23921
P27144,Q07343
P27144,P15531
P27144,Q08499
P27144,Q08493
P27144,Q14432
P27144,P31350
P27144,P00558
P27144,Q9HC97
P27144,Q9Y233
Q04828,P36537
Q04828,O75828
Q04828,O60760
Q04828,P19224
Q04828,P16662
Q04828,Q9HAW9
Q04828,P06133
Q04828,O75795
Q04828,Q16696
Q04828,P54855
Q04828,Q9HAW8
Q04828,Q92731
Q04828,P28845
Q04828,P22310
Q04828,Q9HAW7
Q04828,P35503
Q04828,P07099
P31749,Q15311
P31749,P19838
P31749,P60568
P31749,P24385
P31749,P09486
P31749,P04150
P31749,P36888
P31749,P27824
P31749,Q99835
P31749,P04049
P31749,P10276
P31749,P11802
P31749,Q01860
P31749,Q01650
P31749,P09619
P31749,P36507
P31749,P27361
P31749,P01584
P31749,P35968
P31749,P42336
P31749,P09038
P31749,Q9Y6K1
P31749,P50416
P31749,Q00534
P31749,P00797
P31749,P00533
P31749,Q5T1J1
P31749,P05067
P31749,P07333
P31749,P37231
P31749,P15056
P31749,P04271
P31749,P22455
P31749,P19320
P31749,O60760
P31749,Q71U36
P31749,Q02750
P31749,P35408
P31749,P11274
P31749,Q9H244
P31749,P00747
P31749,Q03181
P31749,P42574
P31749,P04054
P31749,P07288
P31749,P25101
P31749,P06401
P31749,P10826
P31749,Q9UBN7
P31749,P07900
P31749,O75469
P31749,P06239
P31749,P07437
P31749,P17405
P31749,P10636
P31749,Q15303
P31749,P23458
P31749,Q92731
P31749,Q08499
P31749,P29317
P31749,Q14432
P31749,P48443
P31749,P02786
P31749,Q9NR96
P31749,P14416
P31749,Q9GZT9
P31749,P09874
P31749,P02818
P31749,P21554
P31749,P01138
P31749,O15111
P31749,P05412
P31749,P14780
P31749,P00558
P31749,P12931
P31749,O00206
P31749,P28702
P31749,P10275
P31749,P16860
P31749,P04083
P31749,O00329
P31749,Q16790
P31749,Q02763
P31749,P07101
P31749,Q9Y2T6
P31749,P24298
P31749,Q12879
P31749,P10415
P31749,P62942
P31749,Q07869
P31749,P13631
